Tweet,Suicide,preprocess
Mmm mummy's culinary skills has been improving. Smells so good! i'm loving home cooked food!,Not Suicide post,mummy culinary skill improving smell good loving home cooked food
i need to put myself to rest i ve crashed my motorcycle today i don t know how but i m mostly fine it was the most beautiful moment of my life i know it s sick to think that but it felt good to see people approach me to help me after the crash the feeling of my body being dragged by my bike for several meters on the ground looking at the sky while this one song played in my earphonesi ve just felt emptiness for the past yearsi don t want this second chance i want to get on my broken bike bring it up to speed one last time and then just end it all i just don t want to drown anymore please,Potential Suicide post ,put rest crashed motorcycle today don fine beautiful moment life sick felt good people approach crash feeling body dragged bike meter ground sky song played earphonesi felt emptiness past yearsi don chance broken bike bring speed time end don drown anymore
Brushin' mah teef. Secularly.,Not Suicide post,brushin mah teef secularly
i'll be in london today. Wave if you see me,Not Suicide post,london today wave
@PeoplemapsJulie I am looking for the berocca then all will be well,Not Suicide post,berocca
@nellypt Thank you I thought it was. Pass it around. Have a great day Luv ur stuff,Not Suicide post,thought pas great day love stuff
i wanna die. i donât deserve a piece of anything. i donât belong anywhere. iâm sick and tired of everything. the saâ¦ https://t.co/8hbfNffXii,Potential Suicide post ,die not deserve piece not belong sick tired sa
I fucking hate my whole family all they do is making me feel fat and I'm so done with feeling bad about my body andâ¦ https://t.co/eXWykCGcrf,Potential Suicide post ,fucking hate family making feel fat feeling bad body
@meerajane I luv your blog too! Fashion is &lt;3,Not Suicide post,love blog fashion
@Maddierawrk Sorry for your loss. This post gave me goosebumps because although I havenât thought of suicide your dâ¦ https://t.co/VNpWHS2zqu,Potential Suicide post ,loss post gave goosebump not thought suicide
"@MarkusLarockus Ha ha I started something with the Rocquestar thing, didn't I??",Not Suicide post,ha ha started rocquestar thing not
"photoboth is black and white. and wayyyyy old. we call him Herbert lol. I love him, he's like a living legend. gotta love Berlin &lt;3",Not Suicide post,photoboth black white call herbert lol love living legend love berlin
@ErikAbele The one we were looking out for?,Not Suicide post,
he want to kill her.,Not Suicide post,kill
u - understand what the fuck im doing wrong with my life,Potential Suicide post ,understand fuck wrong life
"@RachelStarrxxx AWWWWWW, i really wish i could be there to give ya some serious TLC Rachel hun....sending ya huge HUGZ AND KISSES",Not Suicide post,aw give ya tlc rachel hun sending ya huge hugz kiss
Looking for help on testing Prawn PDFs with Cucumber. All i can find is Prawn and Cucumber salad recipes! http://tinyurl.com/cnnn6z,Not Suicide post,testing prawn pdfs cucumber find prawn cucumber salad recipe
@JoannaButler he should tell them that his sister fixed it,Not Suicide post,sister fixed
"Something weird in that I couldn't stop thinking about him, couldn't sleep. Then out of some old papers a card I diâ¦ https://t.co/eITpOD1uAT",Potential Suicide post ,weird not stop thinking not sleep paper card di
"Congratulations, John! I'm a creepy actor, not a sweet actor",Not Suicide post,congratulation john creepy actor not sweet actor
@fancyelastic He he! Thanks,Not Suicide post,
in the photoshop,Not Suicide post,photoshop
@MizFitOnline normal workday for me. I do still have plans/aspirations to submit some info for the miz mag - honest i do.,Not Suicide post,normal workday plan aspiration submit info miz mag honest
@noi27 Easy way is to go to MBK and get it hacked. @chuanjeng got a CN rom on his TH phone...,Not Suicide post,easy mbk hacked cn rom phone
"@Farbelowaverag1,,And I just dont want to fucking be here anymore. Please someone just fucking end me because I know itll be worse for everyone if I do it myself and fuck do I want to but please please someone just kill me please",Potential Suicide post ,not fucking here anymore fucking end worse fuck kill
"i'm tired,",Not Suicide post,tired
My Cullen family jewellery set arrived this morning! So happy!,Not Suicide post,cullen family jewellery set arrived morning happy
Getting ready to take kids to the farm,Not Suicide post,ready kid farm
"@wolfiecomedy These boys might find it shocking that some internet stranger like myself would say ""fuck these guys""â¦ https://t.co/VNWeNO1cmv",Potential Suicide post ,boy find shocking internet stranger fuck guy
@StacyonBob I ate candy cigarettes but I didn't eat the wax once I drank the coke. I did however eat the candy lips.,Not Suicide post,ate candy cigarette not eat wax drank coke eat candy lip
I damn near hate smoking by myself but sometimes I like it cause I canât finish blunts and I be having some for later.,Potential Suicide post ,damn hate smoking finish blunts
is going to get some cereallllllll will be living off Lucky Charms next week! WOOPWOOP!,Not Suicide post,cereal living lucky charm week woopwoop
"&quot;tagged as: punk, punk rock, pop punk, new york, more people should listen to this band &quot; http://www.last.fm/music/Get+Bent",Not Suicide post,tagged punk punk rock pop punk york people listen band
@dianapmarez It's a great time in life! We can help you design an amazing wedding.,Not Suicide post,great time life design amazing wedding
@vegale Wow! Wow! Good to hear,Not Suicide post,wow wow good hear
feeling overwhelmed and wanting to die i tried to kill myself today all i wanted was my boyfriend to help me somehow since he sees me on this depression spiral but all he says is it will get better i know it will but currently i feel trapped in my own home i have no friends and i constantly feel weak or unmotivated i have no desire to have sex with my partner and tend to find the worst in him lately i love him but some things he does amplifies my depression i dont want to die but when i get hurt lonely or overwhelmed the one thought i cant shake is killing myself ,Potential Suicide post ,feeling overwhelmed wanting die kill today wanted boyfriend see depression spiral feel trapped home friend constantly feel weak unmotivated desire sex partner tend find worst love thing amplifies depression not die hurt lonely overwhelmed thought shake killing
Asking everyone to send out happy 'head-first' vibes to @cosmicgirlie,Not Suicide post,send happy head vibe
@kanter And waiting for sunrise in spring with an amazing colors,Not Suicide post,waiting sunrise spring amazing color
"@Lady_Twitster Good so far thanks, hope yours will treat you well too",Not Suicide post,good hope treat
@OliviaCosmetics ok then might not be for a while though?,Not Suicide post,not
"Itâs only the 12th and I have completed 75% of my selling goal, IâM HAPPY ð",Not Suicide post,completed selling goal happy
"@EmisonNaomily but still,i highkey want him to be dead. He f killed peach and beck ugh.Candice is back so imma justâ¦ https://t.co/5pBYOKbtRc",Potential Suicide post ,highkey dead killed peach beck ugh candice back
@mikeyway http://twitpic.com/2tu6p - take care guys..!!,Not Suicide post,care guy
My whole family is so damn beautiful and Iâm the start of the ugly generation of it and I just hate myself so much I canât even express it,Potential Suicide post ,family damn beautiful start ugly generation hate express
"My co-workers are my guinea pigs. Lucky for them, I'm testing recipes from my Ultimate Cookie cook book.",Not Suicide post,worker guinea pig lucky testing recipe ultimate cookie cook book
"Damn, i hate myself @EvoPvPServer",Potential Suicide post ,damn hate
@FrankDiElsi1 No I want him to get indicted &amp; watch the kids go to jail - I donât want him to die because the Trumpâ¦ https://t.co/BPMdXzujoo,Potential Suicide post ,indicted watch kid jail not die trump
ok legit question can I fucking kill myself I'm 100% done with life,Potential Suicide post ,legit question fucking kill life
@willcarling How's the ski jumping going? Have you beat the missus yet?,Not Suicide post,ski jumping beat missus
@lakezuriche I Hope I Fucken Change Cause Damn Do I Hate Myself!!!!!!!!,Potential Suicide post ,hope fucken change damn hate
Really good and helpful about the various Crisis in the DC Universe - I have read them all http://crisis2crisis.com/,Not Suicide post,good helpful crisis dc universe read
@EricBoehlert Nothing to live for? Why? Because you have been nasty?,Potential Suicide post ,live nasty
had a lovely night with the best boyfriend and two very good friends,Not Suicide post,lovely night boyfriend good friend
my girlfriend left me i hate college i have no direction in life i just want to go to sleep and never wake up ive been thinking about suicide a lot recently and different methods the only reason i havent done it so far is because i am too much of a pussy i have access to enough drugs to overdose on i live near plenty of tall buildings i am seeing a therapist and psychiatrist all the pills they ve given me have only exacerbated my symptoms i dont care about leaving everything behind because i dont want to hurt the people around me but why should i go on living my shit life just so others arent inconvenienced one of these days i ll be drunk enough to finally pull the trigger figuratively literally ,Potential Suicide post ,girlfriend left hate college direction life sleep wake thinking suicide lot recently method reason not pussy access drug overdose live plenty tall building therapist psychiatrist pill exacerbated symptom not care leaving not hurt people living shit life not inconvenienced day ll drunk finally pull trigger figuratively literally
@KateEdwards you dont have to bring anything - it's yr place #katesparty,Not Suicide post,not bring place
Rosie: âdoes he think Iâm gonna be single forever?â,Potential Suicide post ,rosie single forever
@codyks Chick-Fil-A = bonus.,Not Suicide post,chick fil bonus
@Fred0828 yeah 16kg is around 40lbs Glad you liked the interview I did with Steve Cotter; Quigong is sucha valuable part of any training,Not Suicide post,yeah kg lb glad interview steve cotter quigong sucha valuable part training
@theosoft What do you want to know about MODx cms? Maybe I can help you,Not Suicide post,modx cm
"i'm home from school, yay! wasn't that bad actually, and i had a nice dinner with graceeeeee.",Not Suicide post,home school yay not bad nice dinner grace
"im hoping my stress level will go down when my aunt is gone... i cant relax, am exhausted, and can't focus on a damâ¦ https://t.co/7eRvPZ4rpS",Potential Suicide post ,hoping stress level aunt relax exhausted focus dam
@ghostbusterz a friend i knew online from last night finally added me up on his messenger.,Not Suicide post,friend knew online night finally added messenger
I jst sneezed twice. Me thinks there's at least one ghost in my house now.,Not Suicide post,sneezed think ghost house
@WANICULLEN Thanks Wani,Not Suicide post,wani
@vanessawhite Haha Get all your Stress out x,Not Suicide post,haha stress
@_nanu_ just added a little more grist to the mill,Not Suicide post,added grist mill
"@niki_dyer @marcorubio You want every vote counted no matter if the voter is dead, move to a different precinct, ouâ¦ https://t.co/nC8PdOqUvU",Potential Suicide post ,vote counted matter voter dead move precinct ou
@yogadork our barefoot range is a great alternative when you need to wear shoes. they allow you foot move as though it were barefoot,Not Suicide post,barefoot range great alternative wear shoe foot move barefoot
there are no perks of being this ugly i deserve an award or something at least if iâm gonna die alone,Potential Suicide post ,perk ugly deserve award die
RT @camphalfblood: Random commenter asked why I had such an extreme social warrior agenda in Magnus Chase. What he calls extreme social jusâ¦,Potential Suicide post ,retweet random commenter asked extreme social warrior agenda magnus chase call extreme social jus
It's Tuesday...at work...still riding the high from the workout last night. It should be a good day!,Not Suicide post,tuesday work riding high workout night good day
So sad that I can't protect these cats and I don't know whats ever bothering them. I don't know why this stuff hasâ¦ https://t.co/SDrCTy43V3,Potential Suicide post ,sad protect cat not bothering not stuff
Never been to war but I get terrible nightmares that wake me up fighting for my life. #thisisus #ptsd,Potential Suicide post ,war terrible nightmare wake fighting life
Cool http://www.onlinemarktplatz.de/14177/twitter-fieber-bei-ebay/ ;_),Not Suicide post,cool
ok that dinner rocked,Not Suicide post,dinner rocked
stuck every time i try and kill myself i cant go through with it but i cant keep living feeling this way why cant i just let myself die,Potential Suicide post ,stuck time kill living feeling die
Damn .. I hate when I type so fast and the autocorrect changes go unnoticed ..smh at myself ð¤¦ð½ââï¸,Potential Suicide post ,damn hate type fast autocorrect unnoticed smh
RT @sirpatricia: //shes doing her best https://t.co/tARP6gNDlu,Not Suicide post,retweet
@bobby_bobbles @snovvvhite live your best life,Not Suicide post,live life
All I want is the truth.,Not Suicide post,truth
@sandieb321 We are not fussy about age here as long as females are between 18-25 . I changed the rules. lol,Not Suicide post,not fussy age here long female changed rule laughing loud
Iâm just gonna go ahead and kill myself. Already done for the fucking day.,Potential Suicide post ,ahead kill fucking day
i cannot wait for my mum to fucking die all i wait is for her to die then i am going to lie under the train that very day and foolow suiti cannot wait i would kill her to be able to kill myself sooner but we are two in a very intimate relationship in short i can not kill her guns are forbiden in my country i have got only a knife or a brick to do it and so i cant do it it s very bloody and slow method cannot do anything my tonsils stink i hate human stench in all forms except dashas shits i hate my body hate arteries these nose and lips and saliva and eyes and all i hate human body except dashas one i want to fuck and to be with my dasha ,Potential Suicide post ,wait mum fucking die wait die lie train day foolow suiti wait kill kill sooner intimate relationship short not kill gun forbiden country knife brick bloody slow method tonsil stink hate human stench form dashas shit hate body hate artery nose lip saliva eye hate human body dashas fuck dasha
"@TaniaUncensored tania, i think you should get athene and the rest of the crew on twitter",Not Suicide post,tania athene rest crew twitter
@jackhii n i got yr pic posing in the server room ..,Not Suicide post,pic posing server room
Bye bye!! Going to sleep!! (finally!!) XDDDD :-D :-P,Not Suicide post,bye bye sleep finally xd
Working on a film. Have been busy. Have a nice day everyone,Not Suicide post,working film busy nice day
i want to die where can i go to commit suicide give me an injection as i am unconconscious and end my nightmare life i want to die,Potential Suicide post ,die commit suicide give injection unconconscious end nightmare life die
I want to play with it.,Not Suicide post,play
Thanks to everyone who's sent me work this year... You'll pleased to know I've just planted 85 trees in India with some of the profits x,Not Suicide post,work year pleased planted tree india profit
this is my notice of me giving up on life n becoming an alcoholic bc i'm miserable n want to die farewell ill be drunk,Potential Suicide post ,notice giving life alcoholic miserable die farewell drunk
New iPhone is completely updated Sun shining in Derry - tis a pretty day,Not Suicide post,iphone completely updated sun shining derry pretty day
I want to be a doctor.,Not Suicide post,doctor
"@TomFelton Cash in the Attic is OK, I prefer Homes Under the Hammer, haha I do love being off school...",Not Suicide post,cash attic prefer home hammer haha love school
Ill ride for my dawgs any day but at the end of the day. I already know where the streets can take you &amp; I what hapâ¦ https://t.co/Pqys3uWHkj,Potential Suicide post ,ride dawgs day end day street hap
i want her,Not Suicide post,
"@FoxWhisperer Well compared to other areas west of us, I'll take our 50 degrees and run with it",Not Suicide post,compared area west degree run
"@inspireinspire aw, I am so jealous! ) please, take me with you",Not Suicide post,aw jealous
"@308Olsen,Blaine, MN,I dont want to be here anymore.",Potential Suicide post ,blaine mn not here anymore
"Scared of death, tired of living.",Potential Suicide post ,scared death tired living
@tmotsenbocker @TheAcademic @judahandthelion Take it all back was so fun https://t.co/iewkzKosB8,Not Suicide post,back fun
Ive had enough of life and the pain it causes,Potential Suicide post ,life pain
Omg the cringe I cant,Potential Suicide post ,god cringe
@lilyroseallen i love your shh tattoo - did it hurt? i think i'm gonna get it,Not Suicide post,love shh tattoo hurt
"@cgupi1,,RT @caringcorbyn: i literally cant explain everything so much has happened i dont wanna be here anymore. wtf is even the point. i literallyâ¦",Potential Suicide post ,retweet literally explain happened not here anymore fuck point literally
i want him,Not Suicide post,
had a juice box this morning. You never know the joy a juice box can bring until you have one later on in life.,Not Suicide post,juice box morning joy juice box bring life
She didn't want him to go out with other women,Not Suicide post,not woman
@adalinemusic you're welcome! It was a great way to be introduced to your music,Not Suicide post,great introduced music
@Cookieex3 awesome!! Can't wait to see it!!,Not Suicide post,awesome wait
My heart is so crushed.,Potential Suicide post ,heart crushed
ooo apple store is down ... so close? Credit card ready,Not Suicide post,apple store close credit card ready
youâve changed for the fucking worse. i cant believe that you could really go back on all ur hard work like that,Potential Suicide post ,changed fucking worse back hard work
"Not just because the House has NEVER had a Black woman in leadership, but becauseâ¦",Not Suicide post,not house black woman leadership
@SUMMERWALKER hey Golden is here with me and just wanted to say Hi and have a great morning,Not Suicide post,hey golden here wanted great morning
Goooooood morning Twitter-World!,Not Suicide post,god morning twitter world
@emilylagrange a revolution in household detergent introducing #kidscleaning get one now while stocks last,Not Suicide post,revolution household detergent introducing stock
everything that youâve ever dreamed of,Potential Suicide post ,dreamed
@taylorchoi congrats!!!!! Ill def go and support the TC Media takeover,Not Suicide post,congrats def support tc medium takeover
Going to bed goodnightttttt!,Not Suicide post,bed goodnight
Going to school and enjoying my last day as a 16 year old but too,Not Suicide post,school enjoying day year
@pviktor Hmmm...not good...carrot juice and marmalade on toast may help?,Not Suicide post,hm not good carrot juice marmalade toast
Im tired and sick of everything I wanna die ... https://t.co/w04RQCbvNV,Potential Suicide post ,tired sick die
RT @MarvelStudios: âNo one has had more of an impact on my career and everything we do at Marvel Studios than Stan Lee. Stan leaves an extrâ¦,Not Suicide post,retweet impact career marvel studio stan lee stan leaf extr
"9 months ago my grandmother passed away, 8 months ago I got my heart completely broken, 7 months ago I almost attemâ¦ https://t.co/ooZMFRvuD1",Potential Suicide post ,month ago grandmother passed month ago heart completely broken month ago attem
@that_groyper Really tired of everything. It's all just so lame and gay. Nothing serious us ever going to happen anâ¦ https://t.co/swSugXE6ua,Potential Suicide post ,tired lame gay happen
trying to figure out how this works!,Not Suicide post,figure work
My life is miserable,Potential Suicide post ,life miserable
Positive Mental Attitude - Today can't be as bad as yesterday.,Not Suicide post,positive mental attitude today bad yesterday
good morning all,Not Suicide post,good morning
YaY!! Just found out Amy is having a Girl!! LiL Bonita!! Im so excited..now I can go by little girly things for the babes,Not Suicide post,yay found amy girl lil bonita excited girly thing babe
I am constantly amazed by our technology. It makes me wonder. Now check out this rad song! &quot;Tripping&quot; ? http://twt.fm/33023,Not Suicide post,constantly amazed technology make check rad song tripping
Damn I fucking HATE myself,Potential Suicide post ,damn fucking hate
snuggling in bed with my little baby....ahhhh!,Not Suicide post,snuggling bed baby ah
mhm up. ohh early for me!- &amp; i feel like whatching Open arms again [by gary go],Not Suicide post,mhm ohh early feel whatching open arm gary
@goobimama @EventBox isn't the best Twitter client for me. It's the simplicity and all-in-1 that makes me love it,Not Suicide post,not twitter client simplicity make love
"@semblance_er AHHHH yeah i was, but their updates were boring me so &quot;unfollowed&quot; them. you'll have to win and take me on holiday",Not Suicide post,ah yeah update boring unfollowed win holiday
"@LizzieLib Could be - mine grew out, down my back and then all fell off",Not Suicide post,mine grew back fell
RT @lisapryor23: @MillwallFC @zampathelion what a fun day ! https://t.co/jr18uTkFX4,Not Suicide post,retweet fun day
"@vascopatricio Vou ler! ATD foi uma maratona.. Let's just say I'm glad it's over, lol.",Not Suicide post,vou ler atd foi uma maratona glad lol
"laughter is indeed the best medicine! whatever ur situation today,find a reason 2 smile wholeheartedly! God is good,faithful&amp;loves u &lt;3",Not Suicide post,laughter medicine situation today find reason smile wholeheartedly god good faithful love
"@bradesposito They want people like me dead. They don't want to help me. If I was in Canada, Israel or Germany I woâ¦ https://t.co/UEfZi9HniT",Potential Suicide post ,people dead not canada israel germany wo
enjoyed the N-Dubz gig last night - and it finished early which is always a bonus,Not Suicide post,enjoyed dubz gig night finished early bonus
i think its tonight because i dont care and i have nothing left i dont care i had something so great so promising and they stripped it down past the bone into splinters then pissed on the splinters i dont want happiness i dont want dreams i dont care that if i post a note everyone will desperately try to stop me i know they ll care when i am about to die or dead i am numb i am no longer scared and the hurt is too much i gotta go i have nothing left i had a lot of love to give but its gone with me i just wanted someone to hear me before the end ,Potential Suicide post ,tonight not care left not care great promising stripped past bone splinter pissed splinter not happiness not dream not care post note desperately stop ll care die dead numb longer scared hurt left lot love give wanted hear end
RT @Mylingo11: Never get too attach cause  people wake up with  different feelings everyday.,Potential Suicide post ,retweet attach people wake feeling everyday
do you ever feel empty and you had to pick a number from 15 depending how you feel about it i could write my funeral speech now but what is the point in afew years i would be forgotten anyway ,Potential Suicide post ,feel empty pick number depending feel write funeral speech point afew year forgotten
@Cellobella They don't do them in my size How r u?,Not Suicide post,not size
"It snowed! Okay, there's not enough to build Frosty, but it snowed. As long as it's cold, it might as well snow...Enjoy your day",Not Suicide post,snowed not build frosty snowed long cold snow enjoy day
"YALL im sad cause I keep seeing tweets about invisible and the fact that it was a suicide note, and like I alreadyâ¦ https://t.co/FTr8WA8GLz",Potential Suicide post ,sad tweet invisible fact suicide note
RT @B8SSONS: i hate feeling the way i do,Potential Suicide post ,retweet hate feeling
glad to see spring making a comeback in Denver today!,Not Suicide post,glad spring making comeback denver today
@avalanchelynn hello!! g'mrng!! wuzup?!? hows twitterville while i was sleeping? evrythings cool?,Not Suicide post,mrng wuzup twitterville sleeping evrythings cool
"@richard_bell nah, I think going sideways is best, really helps when dodging bullets",Not Suicide post,nah sideways help dodging bullet
Iâm so done with today like I just want to fucking kill myself,Potential Suicide post ,today fucking kill
@familychoice If you have any questions feel free to email us at sales@jshop.co.uk or send a DM on Twitter,Not Suicide post,question feel free email sale uk send direct message twitter
"Itâs been nearly three years, but I still feel that Kylo/Ben Solo doesnât deserve redemption. The man killed his owâ¦ https://t.co/a69qtrMkh7",Potential Suicide post ,year feel kylo ben solo not deserve redemption man killed ow
"All right so that's 200 for slytherin, 590 for hufflepuff and 520 for ravenclaw. Sadly I'll have to cut these sprinâ¦ https://t.co/jjn5aEzAtu",Potential Suicide post ,slytherin hufflepuff ravenclaw sadly cut sprin
ba't ko kinakaawaan sarili ko at iniisip na yung iba naiisip din ako? damn! hate myself. It's just me. ð¤¦,Potential Suicide post ,ba ko kinakaawaan sarili ko iniisip na yung iba naiisip din ako damn hate
@hillkath Hey there! Sent you a DM.,Not Suicide post,hey dm
@SILVERSUN You make the milk look REALLY good in your pictures,Not Suicide post,make milk good picture
@solareclipse2k http://twitpic.com/2y3i4 - Totally love this pic! Are you singing it in Finnish?,Not Suicide post,totally love pic singing finnish
@JonathanRKnight,Not Suicide post,
"@catherinemarche Ooh, that's lovely",Not Suicide post,ooh lovely
"@geuphers, you will fully bloom after all the hardships. i love u ):",Not Suicide post,fully bloom hardship love
"@myselfmp3 Aw I'm so sorry, try not to let it get to you too much, they obviously didn't deserve you in the first pâ¦ https://t.co/F3aDF3M6U0",Potential Suicide post ,aw not not deserve
Showcase Quick @ VIP romm on Thursday,Not Suicide post,showcase quick vip romm thursday
@MatthewTurnbull is that me? tony price is on here too as is fab,Not Suicide post,tony price here fab
Hey Mariedees! Welcome to our Twitter feed! G'mornin' to ya!,Not Suicide post,hey mariedees twitter feed mornin ya
@TradingGoddess wow that was an experience you don't need to see repeated again glad he is ok.,Not Suicide post,wow experience not repeated glad
embedding a google calendar into a site is actually seriously easy,Not Suicide post,embedding google calendar site easy
I die a little inside when I see an old person eating alone at a restaurant.,Potential Suicide post ,die inside person eating restaurant
I hate repeating myself dawg. like damn.,Potential Suicide post ,hate repeating dawg damn
running out of option it physically hurts to breathe i have no dream or goal or ambition or motivation i am tried of it all i have been to hospital er psyche ward therapist difference medications my girlfriend the only person i really loved who wasnt family wants to just go do drugs and drink or whatever the fuck leaving me here with nothing so i cant at least just talk to her any more about how i feel it hurts it hurts so much so much pain and why i dont know why was i born to suffer like this if god is real he wants me dead and i do too,Potential Suicide post ,running option physically hurt breathe dream goal ambition motivation hospital er psyche ward therapist difference medication girlfriend person loved not family drug drink fuck leaving here talk feel hurt hurt pain not born suffer god real dead
1300 words...,Not Suicide post,word
"@__TheRealSkp,Barcelona, Spain,RT @kbdoll2_: Even though WE DONT WANT too, we know that we have too believe that youâre not here anymore and we know that we have to be stâ¦",Potential Suicide post ,barcelona spain retweet not not here anymore st
@theshortestfuse that is so cool...good to hear...thanks for sharing!,Not Suicide post,cool good hear sharing
@JacksonWang852 debuted on this week's Billboard Social 50 at #33!,Not Suicide post,debuted week billboard social
@julouille3 Let me hate myself god fucking damn it,Potential Suicide post ,hate god fucking damn
@Woth2982 @DDsBoston @Bostongrlkayte it is going to be sunny and 11 Celcius Friday and sunny and 15 Saturday sweet,Not Suicide post,sunny celcius friday sunny saturday sweet
@IanAspin I second to that Ian - thank you,Not Suicide post,ian
In reality social media donât care about a mans mental health or donât want to speak on it until heâs dead lets be real,Potential Suicide post ,reality social medium not care man mental health not speak he dead real
Not everything is gold.,Not Suicide post,not gold
Became as hot as the persistent days resting heavily on tired flowers,Potential Suicide post ,hot persistent day resting heavily tired flower
@LessIsMoh @LaVendrickS We used to have one. But keeping a live wild animal in a cage surrounded by screaming drunkâ¦ https://t.co/swOCDlRqWC,Potential Suicide post ,keeping live wild animal cage surrounded screaming drunk
IM SO TIRED OF EVERYTHING CAN I DIE,Potential Suicide post ,tired die
still listening to some great music I got yesterday. amber pacific is awesome!!,Not Suicide post,listening great music yesterday amber pacific awesome
Going to day care! Get to see hannah! This should be a good day. I hope so anyway.,Not Suicide post,day care hannah good day hope
@vindiekins I almost feel bad for my next post. Almost.,Not Suicide post,feel bad post
@LadyParadis Thanks. It's certainly better than it was midday yesterday. At one point I was walking around like Kryten from Red Dwarf.,Not Suicide post,midday yesterday point walking kryten red dwarf
@cyberpreneur welcome to the &quot;twittersphere&quot;! (i like your name for it it's fun but can get super addicting,Not Suicide post,twittersphere fun super addicting
@LindseyLobo How did you know?? I LOVE it!,Not Suicide post,love
